name,NS,R,Z,Theta,Phi
KMPD1T,0.13323264,1.90601073,-0.980108177,-149.3340669,-134.945
KMPD2T,0.141744978,1.864662361,-1.109997988,-89.5675505,-134.978
KMPD3T,0.137454194,1.761991813,-1.189136211,-169.3851811,-135.011
KMPD4T,0.129475553,1.497351588,-1.092232298,-154.6122783,-135.0475
KMPD5T,0.141542543,1.423194778,-1.156388825,117.1122927,-134.945
KMPD6T,0.133986481,1.284749222,-0.870390408,92.82868962,-135.037
KMPU1N,0.282605992,1.299002912,0.760954443,179.0520659,-112.64325
KMPU2N,0.275062537,1.300474279,0.860709928,178.788889,-112.4515
KMPU3N,0.270041839,1.548202708,1.141793447,108.6690318,-112.5445
KMPU4N,0.272007255,1.710978004,1.190868304,90.46917975,-112.4345
KMPU5N,0.26247953,1.863797619,0.989458361,65.51063304,-112.685
KMPU6N,0.272743708,1.951027714,0.941118906,65.13698203,-112.472
KMPL1N,0.349835793,2.345998396,0.821887726,41.64305019,-134.5119687
KMPL2N,0.313840269,2.45360395,0.673495885,33.29942691,-134.4186006
KMPL3N,0.336689734,2.536529513,0.525569692,24.90281784,-134.3476116
KMPL4N,0.3240513,2.605513653,0.343875347,16.23649397,-134.2939137
KMPL5N,0.340861797,2.643532688,0.164993084,7.801803878,-134.3045849
KMPL6N,0.329536971,2.654725632,-0.016472567,-0.6416773,-134.2957932
KMPL7N,0.318164833,2.638609796,-0.197760864,-9.229218872,-134.3120617
KMPL8N,0.331876521,2.59472906,-0.374939786,-17.96776837,-134.3598322
KMPL9N,0.328536367,2.525443503,-0.543739677,-26.61297283,-134.4441801
KMPL10N,0.328213909,2.432690393,-0.699925555,-34.62163342,-134.5133125
KMPH1N,0.338338327,1.297345024,-0.708650031,179.6754382,-136.212645
KMPH2N,0.32218356,1.29825104,-0.548686566,179.7515527,-136.1672306
KMPH3N,0.346453404,1.298732961,-0.388858853,179.9805291,-136.1411416
KMPH4N,0.322427038,1.298721499,-0.228450105,180.0082514,-136.1059284
KMPH5N,0.337822876,1.298857619,-0.068757659,179.9925858,-136.0916512
KMPH6N,0.327097975,1.299187991,0.091742916,180.0937005,-136.1044728
KMPH7N,0.317210576,1.299377701,0.25137177,180.2161034,-136.0816134
KMPH8N,0.331907093,1.299381424,0.411645854,180.1398246,-136.0637983
KMPD1N,0.324286661,1.90601073,-0.980108177,-59.33406685,-134.945
KMPD2N,0.352844817,1.864662361,-1.109997988,0.432449498,-134.978
KMPD3N,0.333551097,1.761991813,-1.189136211,-79.38518108,-135.011
KMPD4N',0.327998094,1.497351588,-1.092232298,-64.61227829,-135.0475
KMPD5N,0.343357607,1.423194778,-1.156388825,207.1122927,-134.945
KMPD6N,0.327427519,1.284749222,-0.870390408,182.8286896,-135.037
FHP6T,0.106902682,2.4608,0.2432667,101.3659,112.6266
FHP7T,0.108493882,2.4854,-0.0065978,89.8867,112.4764
FHP8T,0.117301607,2.4547,-0.2711,78.57,112.3043
KHP6T,0.110735345,2.458133766,0.29356502,61.77674969,-134.6108
KHP7T,0.111991974,2.526441398,-0.002628113,89.36421371,-134.80495
KHP8T,0.112216448,2.478507474,-0.233439994,66.91659183,-134.76795
LHP6T,0.10592679,2.459449275,0.297211101,61.27114004,-112.5826
LHP7T,0.105178393,2.526740252,-0.001076746,88.76753192,-112.77585
LHP8T,0.110556479,2.479659064,-0.232462019,68.5721346,-112.6537
FHP6N,0.202173907,2.4608,0.2432667,-168.6341,112.6266
FHP7N,0.210855894,2.4854,-0.0065978,179.8867,112.4764
FHP8N,0.207938207,2.4547,-0.2711,168.57,112.3043
KHP6N,0.212996897,2.458133766,0.29356502,151.7767,-134.6108
KHP7N,0.196163857,2.526441398,-0.002628113,179.3642,-134.80495
KHP8N,0.202965876,2.478507474,-0.233439994,156.9166,-134.76795
LHP6N,0.197802462,2.459449275,0.297211101,151.2711,-112.5826
LHP7N,0.203970104,2.526740252,-0.001076746,178.7675,-112.77585
LHP8N,0.211952444,2.479659064,-0.232462019,158.5721,-112.6537
