0.000000	0.914394
0.020000	0.903835
0.040000	0.891493
0.060000	0.877935
0.080000	0.863732
0.100000	0.849450
0.120000	0.835658
0.140000	0.822582
0.160000	0.809744
0.180000	0.796571
0.200000	0.782664
0.220000	0.768207
0.240000	0.753508
0.260000	0.738876
0.280000	0.724514
0.300000	0.710386
0.320000	0.696424
0.340000	0.682560
0.360000	0.668723
0.380000	0.654847
0.400000	0.640873
0.420000	0.626823
0.440000	0.612753
0.460000	0.598720
0.480000	0.584780
0.500000	0.570988
0.520000	0.557400
0.540000	0.544024
0.560000	0.530782
0.580000	0.517591
0.600000	0.504366
0.620000	0.491021
0.640000	0.477473
0.660000	0.463637
0.680000	0.449482
0.700000	0.435063
0.720000	0.420440
0.740000	0.405676
0.760000	0.390831
0.780000	0.375963
0.800000	0.361068
0.820000	0.346106
0.840000	0.331032
0.860000	0.315803
0.880000	0.299981
0.900000	0.277490
0.920000	0.241529
0.940000	0.194764
0.960000	0.141488
0.980000	0.085994
1.000000	0.032576
