theta_b_over_pi, Real, Imaginary, Absolute
-4.999998959779536456e+00,7.315192314637626808e-04,-9.510883419932995636e-04,1.199870584803585131e-03
-4.978694479097256043e+00,5.402090548081917758e-04,-9.081715982942346194e-04,1.056693652316064921e-03
-4.957402730810422042e+00,7.458662842103141143e-04,-9.811658739171762438e-04,1.232478391721882104e-03
-4.936120531820173518e+00,5.740590475281661092e-04,-9.702649561965718790e-04,1.127367675282594378e-03
-4.914847882126511358e+00,7.335489053536761337e-04,-1.038134226852909089e-03,1.271147776424544481e-03
-4.893591147927157436e+00,5.744020615585465703e-04,-1.069053955514855754e-03,1.213595520807763924e-03
-4.872366244716422656e+00,6.850405566473589990e-04,-1.134658683131032839e-03,1.325417251832936190e-03
-4.851195454186338019e+00,5.288711511232751204e-04,-1.204720269789562488e-03,1.315695870226966414e-03
-4.830107424226661728e+00,5.848939973920425041e-04,-1.269820874477637501e-03,1.398050800738082902e-03
-4.809133985826012037e+00,4.207138566577688327e-04,-1.369406365135565759e-03,1.432575981251136285e-03
-4.788300603775282660e+00,4.152488663168425959e-04,-1.431176661850607022e-03,1.490200744330531357e-03
-4.767635925964230914e+00,2.318286941327313050e-04,-1.543770073615807108e-03,1.561079941455607205e-03
-4.747159050986027751e+00,1.594909476710760859e-04,-1.592566469743689379e-03,1.600532824699604827e-03
-4.726879528137258646e+00,-5.118328021551938191e-05,-1.695459138879433633e-03,1.696231534839336315e-03
-4.706800540516785425e+00,-1.900093246033375527e-04,-1.715684232817209828e-03,1.726173783306244854e-03
-4.686915721926883549e+00,-4.291927480346899694e-04,-1.783025834927374998e-03,1.833954073302827186e-03
-4.667205973774382954e+00,-6.252526444323519604e-04,-1.755652505844989934e-03,1.863667510756530227e-03
-4.647645831268389927e+00,-8.858307289514453153e-04,-1.761760869796605853e-03,1.971927342145532013e-03
-4.628209829618007198e+00,-1.120724200092731689e-03,-1.667649239955588817e-03,2.009247799600125724e-03
-4.608862954735756468e+00,-1.385511949341347799e-03,-1.589762235179226343e-03,2.108788117893713784e-03
-4.589563826336433117e+00,-1.630751284810298338e-03,-1.412935346919805312e-03,2.157715469538518463e-03
-4.570280613431419781e+00,-1.872681831802300821e-03,-1.236512746780793611e-03,2.244081330102321546e-03
-4.550965569537787303e+00,-2.089881392671389792e-03,-9.686448920934282673e-04,2.303448971089396002e-03
-4.531583680568055605e+00,-2.271820687034979604e-03,-6.913384249275352162e-04,2.374682726559775806e-03
-4.512090383138160909e+00,-2.415176064885676908e-03,-3.388022893712796233e-04,2.438823982102825833e-03
-4.492450663160620472e+00,-2.494656223248928068e-03,2.213665387937501902e-05,2.494754437542817584e-03
-4.472629506547955991e+00,-2.518171692227429495e-03,4.311302259435599777e-04,2.554811527932677323e-03
-4.452595082311548325e+00,-2.457474809179597749e-03,8.333397216777852379e-04,2.594925341792766928e-03
-4.432312376363916506e+00,-2.330102908246694561e-03,1.246063301260483952e-03,2.642357529511833378e-03
-4.411765473210753186e+00,-2.114318776875734329e-03,1.624558155642862002e-03,2.666370771538541760e-03
-4.390925724962300158e+00,-1.836411117457170325e-03,1.972232172463802332e-03,2.694829407294937074e-03
-4.369786765420834662e+00,-1.487555267150573145e-03,2.256348476487588135e-03,2.702578235717751493e-03
-4.348332679092047570e+00,-1.101096462894310315e-03,2.477672035270865863e-03,2.711322949219003697e-03
-4.326563465975937994e+00,-6.799608917332234650e-04,2.618968655216566931e-03,2.705798150508184619e-03
-4.304469576775921347e+00,-2.564088790677487850e-04,2.686864765796889622e-03,2.699071652058454042e-03
-4.282060560788582215e+00,1.606871219143826300e-04,2.680485671822060902e-03,2.685297709378327465e-03
-4.259339601112783313e+00,5.486260088992879654e-04,2.614460191986662119e-03,2.671402738847831679e-03
-4.236313063946248292e+00,8.997472778378807438e-04,2.498831287858650947e-03,2.655880827363682993e-03
-4.212990498585561738e+00,1.206219129442693020e-03,2.352679123547165869e-03,2.643872849932112339e-03
-4.189391003623895493e+00,1.463720064729134981e-03,2.190037338221643981e-03,2.634148813316287800e-03
-4.165536860753282333e+00,1.679026452388535182e-03,2.027934580605397861e-03,2.632802402580873644e-03
-4.141453534764615974e+00,1.848743713282524322e-03,1.879026204288164296e-03,2.636018359913914165e-03
-4.117185589041963745e+00,1.989903151394521817e-03,1.754757106066384209e-03,2.653090095194718737e-03
-4.092774403870529376e+00,2.094610405966956454e-03,1.664666600148886942e-03,2.675538757416216426e-03
-4.068267725733239359e+00,2.185031756798320665e-03,1.613316993090383421e-03,2.716091953231950309e-03
-4.043719667310745614e+00,2.243678244028953547e-03,1.609004360247165465e-03,2.760975750350451625e-03
-4.019168425789390042e+00,2.296531359922695473e-03,1.649819453187445321e-03,2.827712947812084047e-03
-3.994661747652099582e+00,2.322533816852150913e-03,1.746726920828223228e-03,2.906065771170340470e-03
-3.970225097689770166e+00,2.363091612115819293e-03,1.898893695126505641e-03,3.031501151681017386e-03
-3.945877574495571860e+00,2.367824945162902515e-03,2.120414788418627846e-03,3.178482947237583778e-03
-3.921631910464952409e+00,2.362008657346063509e-03,2.404381065292561428e-03,3.370479669797037288e-03
-3.897500837993359557e+00,2.295993659843472475e-03,2.766690984804262479e-03,3.595297747258021422e-03
-3.873493906377377449e+00,2.178104336749999998e-03,3.195337104076083606e-03,3.867081290903320173e-03
-3.849627031111316988e+00,1.961290192334575865e-03,3.700825658210731613e-03,4.188408978480813970e-03
-3.825938409381519190e+00,1.639099534046142576e-03,4.262303804701312801e-03,4.566604975918276896e-03
-3.802466238374326846e+00,1.168593724674366844e-03,4.876805915239643303e-03,5.014862633040378936e-03
-3.779270996968114193e+00,5.351663393741275471e-04,5.509973781064469653e-03,5.535902282267723615e-03
-3.756419530238979565e+00,-2.936564721513856380e-04,6.136840744379986647e-03,6.143862664929832483e-03
-3.733972317065298530e+00,-1.326956308169409274e-03,6.705786517642913815e-03,6.835816400693633423e-03
-3.711993019424307594e+00,-2.572040073573589325e-03,7.168604744637900247e-03,7.616054367250371313e-03
-3.690523017601211375e+00,-4.014461578682381945e-03,7.465443781953542274e-03,8.476364352021793780e-03
-3.669590959485764969e+00,-5.620497625638196104e-03,7.541228254186980139e-03,9.405323872230695811e-03
-3.649200028176831534e+00,-7.349804529246497901e-03,7.353013034592917330e-03,1.039646224948783705e-02
-3.629337491278962879e+00,-9.132376277541860363e-03,6.866261145060366736e-03,1.142566578308568462e-02
-3.609974700902403022e+00,-1.091573728208846197e-02,6.076145510962034646e-03,1.249291257801638834e-02
-3.591076642959671439e+00,-1.262449320564244630e-02,4.978050695771866693e-03,1.357051279167397796e-02
-3.572595570967840306e+00,-1.421670419500863265e-02,3.605658114154604906e-03,1.466681453501560498e-02
-3.554477372246259037e+00,-1.562778845904989541e-02,1.972506253762130839e-03,1.575177936113707211e-02
-3.536671117213137983e+00,-1.684709412461899564e-02,1.308932966067197982e-04,1.684760260389793485e-02
-3.519116326990102017e+00,-1.781617933289801614e-02,-1.880588532583986122e-03,1.791515724884570546e-02
-3.501765255094223317e+00,-1.855903360596362558e-02,-4.030779539112080458e-03,1.899170640253823594e-02
-3.484560605745989470e+00,-1.902070486957722559e-02,-6.267602010530994201e-03,2.002673335064835206e-02
-3.467448266264748558e+00,-1.925525544805729503e-02,-8.565768718402436144e-03,2.107456419732331790e-02
-3.450377307068712263e+00,-1.920258689751016407e-02,-1.089969097061994213e-02,2.208036699902071395e-02
-3.433296798576090048e+00,-1.893736937261642286e-02,-1.323320094416750164e-02,2.310284757305094971e-02
-3.416155811205092707e+00,-1.839011923429813636e-02,-1.553030189205991361e-02,2.407045413593648930e-02
-3.398903415373931480e+00,-1.765424025027041710e-02,-1.778998241779651893e-02,2.506303399909470819e-02
-3.381498230797402194e+00,-1.664729154807455952e-02,-1.996313475389429812e-02,2.599344273251884968e-02
-3.363886144794852484e+00,-1.547499409222856392e-02,-2.207674581478250714e-02,2.696030689597256683e-02
-3.346032143278803606e+00,-1.404223688184580952e-02,-2.405852951267932124e-02,2.785672735549408682e-02
-3.327891662865189115e+00,-1.246148498451456026e-02,-2.597916633524793156e-02,2.881329018862235566e-02
-3.309429689466529378e+00,-1.061771526694931835e-02,-2.772724584854663679e-02,2.969067260665806188e-02
-3.290623941390791174e+00,-8.654540979323234115e-03,-2.940228355533264920e-02,3.064955722079798495e-02
-3.271448953847079455e+00,-6.471262006287245225e-03,-3.083858111912899866e-02,3.151024146837209244e-02
-3.251901543736533284e+00,-4.178660515537287179e-03,-3.221405353000823119e-02,3.248394139476221826e-02
-3.231988077256874980e+00,-1.695703970208922544e-03,-3.331111648932416625e-02,3.335424851079554082e-02
-3.211727653001277272e+00,8.320739056835782781e-04,-3.436013089215501914e-02,3.437020427507734427e-02
-3.191152101958356635e+00,3.498625188590364244e-03,-3.509475148104606451e-02,3.526871077494361795e-02
-3.170314263569220969e+00,6.172493615366043095e-03,-3.582660560595227889e-02,3.635444053587107149e-02
-3.149264112486001022e+00,8.877324693380518605e-03,-3.622102848392851765e-02,3.729302613284773971e-02
-3.128060854347526121e+00,1.155898880530545000e-02,-3.667239186928627354e-02,3.845093688865943576e-02
-3.106758601834448630e+00,1.416448466083470789e-02,-3.677100704071369769e-02,3.940481676769019143e-02
-3.085404464809922587e+00,1.669630491511618631e-02,-3.700566696042709852e-02,4.059785690162202171e-02
-3.064033457361428958e+00,1.902621425688266754e-02,-3.688221123624355058e-02,4.150053414865518403e-02
-3.042669134420545429e+00,2.125296242376591149e-02,-3.698563369664739642e-02,4.265706871936449790e-02
-3.021323910072832408e+00,2.314450425353456117e-02,-3.673147949132513079e-02,4.341508565882967741e-02
-3.000000012487494150e+00,2.491874556909216137e-02,-3.679834155643239846e-02,4.444166763343843779e-02
-2.978694576875554390e+00,2.621492378889246286e-02,-3.649368470019482419e-02,4.493340908783433757e-02
-2.957402191968948824e+00,2.751537483740360002e-02,-3.670954403090984086e-02,4.587686209191002562e-02
-2.936119356358927845e+00,2.832560253111605919e-02,-3.667659058849861986e-02,4.634125652102145942e-02
-2.914846388355379236e+00,2.912640353625125036e-02,-3.714642206088025755e-02,4.720385635603939478e-02
-2.893590609085684218e+00,2.941842040324464669e-02,-3.745211581600473016e-02,4.762462008370746402e-02
-2.872366660804607452e+00,2.968498925737877991e-02,-3.820406883320909969e-02,4.838129248607640071e-02
-2.851196506894295712e+00,2.942072853763052706e-02,-3.885319408901194427e-02,4.873551024256727454e-02
-2.830108476934619866e+00,2.909342393754644693e-02,-3.986320295866499497e-02,4.935080816494820388e-02
-2.809132810364766364e+00,2.822900630850741152e-02,-4.079520527986769951e-02,4.960973262367271430e-02
-2.788299428314037431e+00,2.731116516317458678e-02,-4.197334292087148699e-02,5.007655398011402054e-02
-2.767634432193099681e+00,2.586850305979556189e-02,-4.306275968221907890e-02,5.023525377663783098e-02
-2.747157557214896073e+00,2.432390001225978593e-02,-4.425406891931878833e-02,5.049826460109524406e-02
-2.726879307605671876e+00,2.232709951064688197e-02,-4.532819415660614693e-02,5.052865086322127358e-02
-2.706801274914856670e+00,2.025629393756389618e-02,-4.637819821847245783e-02,5.060884027595287382e-02
-2.686915183085410774e+00,1.774537250241066400e-02,-4.725813667507881843e-02,5.047999333646689679e-02
-2.667204798313137726e+00,1.517021957230060662e-02,-4.799603226971119185e-02,5.033641500451706274e-02
-2.647646247356575167e+00,1.224340534115091195e-02,-4.852866738083514569e-02,5.004930101517358898e-02
