theta_b_over_pi, Real, Imaginary, Absolute
-4.999998959779536456e+00,5.782652030272099060e-05,-1.116465894786718668e-05,5.889444846284914081e-05
-4.978694479097256043e+00,3.483742912067100270e-05,-2.216497681123049399e-05,4.129083027477361531e-05
-4.957402730810422042e+00,5.823176397825591402e-05,-1.389062817906960947e-05,5.986558182485546942e-05
-4.936120531820173518e+00,4.111468879273161157e-05,-2.533719254845184118e-05,4.829483368602167481e-05
-4.914847882126511358e+00,5.895420173247759059e-05,-1.992419606216976242e-05,6.222998867617962485e-05
-4.893591147927157436e+00,4.710689770743354177e-05,-3.321460228309863565e-05,5.763913268295272051e-05
-4.872366244716422656e+00,5.973925767143050303e-05,-3.102375630987808515e-05,6.731457763893544926e-05
-4.851195454186338019e+00,5.129697068089929810e-05,-4.701118159573525597e-05,6.958038801317681312e-05
-4.830107424226661728e+00,5.829529869111461742e-05,-4.886416863882914321e-05,7.606608196989117455e-05
-4.809133985826012037e+00,5.054255517380726082e-05,-6.790716563247972215e-05,8.465183416639231889e-05
-4.788300603775282660e+00,5.028546422383644530e-05,-7.421130689585375305e-05,8.964343803869487086e-05
-4.767635925964230914e+00,3.944057680200785805e-05,-9.554768007041679518e-05,1.033678783051766230e-04
-4.747159050986027751e+00,2.923975678438890154e-05,-1.050357435209055832e-04,1.090296784999372401e-04
-4.726879528137258646e+00,1.102581773011479595e-05,-1.255916687013167426e-04,1.260747234928517283e-04
-4.706800540516785425e+00,-1.164912494762878301e-05,-1.339963908928136103e-04,1.345018025319555822e-04
-4.686915721926883549e+00,-4.011868901822405873e-05,-1.475329636984194282e-04,1.528904332722623959e-04
-4.667205973774382954e+00,-7.516869550777806146e-05,-1.472682679175502736e-04,1.653429028406614885e-04
-4.647645831268389927e+00,-1.125442877916308840e-04,-1.450652854853413346e-04,1.836032509719504264e-04
-4.628209829618007198e+00,-1.543920115283173040e-04,-1.269697628837699872e-04,1.998955074795850299e-04
-4.608862954735756468e+00,-1.925303649234895941e-04,-1.008400292549696255e-04,2.173399478184238583e-04
-4.589563826336433117e+00,-2.284957771836262658e-04,-5.849327094943469974e-05,2.358639076609928356e-04
-4.570280613431419781e+00,-2.521435562003817871e-04,-6.033851089644789301e-06,2.522157415633431449e-04
-4.550965569537787303e+00,-2.640839407427443639e-04,5.821451923111454059e-05,2.704242186038948717e-04
-4.531583680568055605e+00,-2.551339922421094384e-04,1.275165465712133550e-04,2.852259168568753683e-04
-4.512090383138160909e+00,-2.266711752680647765e-04,1.973239265175329507e-04,3.005271263525182692e-04
-4.492450663160620472e+00,-1.741897318020669920e-04,2.595208843963013731e-04,3.125590377882463957e-04
-4.472629506547955991e+00,-1.030158042946519996e-04,3.061329997662040983e-04,3.230010363455955934e-04
-4.452595082311548325e+00,-1.605039700128448461e-05,3.303271414349890430e-04,3.307168511166464495e-04
-4.432312376363916506e+00,7.640937304434677598e-05,3.264459710206008632e-04,3.352690923491354644e-04
-4.411765473210753186e+00,1.656323001952841878e-04,2.940030665033393316e-04,3.374490509415424620e-04
-4.390925724962300158e+00,2.404865174968209634e-04,2.349667723238882194e-04,3.362189007091283201e-04
-4.369786765420834662e+00,2.935047940506289475e-04,1.570839622420155328e-04,3.328970341176879172e-04
-4.348332679092047570e+00,3.197600774001330029e-04,6.880127701960091007e-05,3.270781601062151388e-04
-4.326563465975937994e+00,3.192071007409443494e-04,-1.909604713243121947e-05,3.197777856254612090e-04
-4.304469576775921347e+00,2.953080065910600942e-04,-9.891037690168660488e-05,3.114323063132970427e-04
-4.282060560788582215e+00,2.542311066968573488e-04,-1.640751071843422296e-04,3.025790746397745358e-04
-4.259339601112783313e+00,2.029732797786386615e-04,-2.127897702545548659e-04,2.940708054688254353e-04
-4.236313063946248292e+00,1.482305828378432369e-04,-2.446285623591393341e-04,2.860339826145593171e-04
-4.212990498585561738e+00,9.506781870085333002e-05,-2.627520304587152426e-04,2.794217594653572142e-04
-4.189391003623895493e+00,4.727310717700877003e-05,-2.699415587509672028e-04,2.740496155864314437e-04
-4.165536860753282333e+00,6.278820435707328032e-06,-2.708289927492539269e-04,2.709017661434478239e-04
-4.141453534764615974e+00,-2.666057933108984717e-05,-2.681580993036428943e-04,2.694801527244849700e-04
-4.117185589041963745e+00,-5.249271982595221322e-05,-2.656837750691920519e-04,2.708197813486728253e-04
-4.092774403870529376e+00,-7.033763055612023130e-05,-2.648369719584782846e-04,2.740182548451563756e-04
-4.068267725733239359e+00,-8.177360286936164173e-05,-2.681393745458788246e-04,2.803313152469612225e-04
-4.043719667310745614e+00,-8.461547048581350512e-05,-2.758580247043735572e-04,2.885436321240417417e-04
-4.019168425789390042e+00,-8.058719977270812067e-05,-2.897593516132070308e-04,3.007570092525068762e-04
-3.994661747652099582e+00,-6.625632684315658127e-05,-3.102543757348838948e-04,3.172501828358648699e-04
-3.970225097689770166e+00,-4.417748334364862093e-05,-3.401950732546134260e-04,3.430515091080203142e-04
-3.945877574495571860e+00,-5.559715494503810946e-06,-3.766470698691490684e-04,3.766881013217639358e-04
-3.921631910464952409e+00,5.011868981657446409e-05,-4.185272096138861709e-04,4.215173878455262535e-04
-3.897500837993359557e+00,1.328129796699310361e-04,-4.608219896908849478e-04,4.795791840264458259e-04
-3.873493906377377449e+00,2.458866743836552122e-04,-4.963659746054974566e-04,5.539308958575239099e-04
-3.849627031111316988e+00,3.981968905362818362e-04,-5.146129444862405315e-04,6.506821391936020403e-04
-3.825938409381519190e+00,5.925561909356878839e-04,-4.995873353133598819e-04,7.750550593485052483e-04
-3.802466238374326846e+00,8.319118862143821090e-04,-4.321173234428796672e-04,9.374448077856153668e-04
-3.779270996968114193e+00,1.111207165134449858e-03,-2.855722630758666426e-04,1.147315510783503915e-03
-3.756419530238979565e+00,1.417848121167884952e-03,-3.159677572613064960e-05,1.418200144879272094e-03
-3.733972317065298530e+00,1.724997561218010031e-03,3.635846673407488712e-04,1.762898294438271229e-03
-3.711993019424307594e+00,1.988644256360001285e-03,9.258729767882161767e-04,2.193614995276129721e-03
-3.690523017601211375e+00,2.145913631344835079e-03,1.673025963827967600e-03,2.721022085326408289e-03
-3.669590959485764969e+00,2.119603882440262640e-03,2.592609124258160678e-03,3.348782269667960939e-03
-3.649200028176831534e+00,1.829085245521532184e-03,3.646612384666999239e-03,4.079624335572002922e-03
-3.629337491278962879e+00,1.207420462742447940e-03,4.754004099716742718e-03,4.904938241606389589e-03
-3.609974700902403022e+00,2.131430354590217345e-04,5.816265371524625451e-03,5.820169484264283224e-03
-3.591076642959671439e+00,-1.150353371890054785e-03,6.707765741480721522e-03,6.805691303813392844e-03
-3.572595570967840306e+00,-2.849427786552243772e-03,7.321364318745003825e-03,7.856310469843240732e-03
-3.554477372246259037e+00,-4.796789762460523625e-03,7.551617558217710822e-03,8.946290838712326124e-03
-3.536671117213137983e+00,-6.906690427826510381e-03,7.337306119087669450e-03,1.007662809430970828e-02
-3.519116326990102017e+00,-9.042560702396763850e-03,6.636840643154250097e-03,1.121675344202387181e-02
-3.501765255094223317e+00,-1.111039753175444185e-02,5.454935454246070611e-03,1.237728783391603936e-02
-3.484560605745989470e+00,-1.297520152810547125e-02,3.812376114850243164e-03,1.352368538291360764e-02
-3.467448266264748558e+00,-1.457258498089181176e-02,1.764551180207894884e-03,1.467902837019149226e-02
-3.450377307068712263e+00,-1.578744310471746556e-02,-6.220849114470184066e-04,1.579969459900225706e-02
-3.433296798576090048e+00,-1.660302475922637716e-02,-3.274223286037643808e-03,1.692279436979352014e-02
-3.416155811205092707e+00,-1.693195990390247707e-02,-6.093277585589224055e-03,1.799497979777707826e-02
-3.398903415373931480e+00,-1.680030516452259495e-02,-9.019913669261667849e-03,1.906853681387269198e-02
