theta_b_over_pi, Real, Imaginary, Absolute
-4.999998959779536456e+00,2.315977626463003754e-06,-4.652044074237219977e-05,4.657805448095530377e-05
-4.978694479097256043e+00,3.313956184476758673e-06,-4.548629043479436953e-05,4.560685171233701377e-05
-4.957402730810422042e+00,2.855694873533782764e-06,-4.832311776162592879e-05,4.840742405266669843e-05
-4.936120531820173518e+00,3.552716413822382618e-06,-4.732328298262074897e-05,4.745645273479935796e-05
-4.914847882126511358e+00,2.956197863779778258e-06,-4.990012640761963504e-05,4.998761567934836559e-05
-4.893591147927157436e+00,3.200992893342953778e-06,-4.898314291070530519e-05,4.908762211508937615e-05
-4.872366244716422656e+00,2.414868823940570838e-06,-5.131851237776930785e-05,5.137529857922094694e-05
-4.851195454186338019e+00,2.167175906137646910e-06,-5.047982855654458431e-05,5.052632722162058522e-05
-4.830107424226661728e+00,1.152001259647859244e-06,-5.255552087342968203e-05,5.256814511831032181e-05
-4.809133985826012037e+00,4.289280621702479854e-07,-5.177051392584444749e-05,5.177229076860102175e-05
-4.788300603775282660e+00,-8.205743624100346631e-07,-5.357677955488124907e-05,5.358306308673091960e-05
-4.767635925964230914e+00,-1.958280375240570083e-06,-5.284622113293522075e-05,5.288249190478018009e-05
-4.747159050986027751e+00,-3.440551414486715589e-06,-5.435469964082227526e-05,5.446348104078302290e-05
-4.726879528137258646e+00,-4.926292987095849221e-06,-5.361519197335897678e-05,5.384103614284226080e-05
-4.706800540516785425e+00,-6.630015588644364488e-06,-5.478044887202241769e-05,5.518020193263095956e-05
-4.686915721926883549e+00,-8.378726313962181973e-06,-5.401022608683715145e-05,5.465626749601135056e-05
-4.667205973774382954e+00,-1.027823470796939440e-05,-5.480029681183568594e-05,5.575584847688531964e-05
-4.647645831268389927e+00,-1.221047876136337688e-05,-5.396073367817909441e-05,5.532500854648897263e-05
-4.628209829618007198e+00,-1.429814639343056675e-05,-5.434694684063531980e-05,5.619633102958602138e-05
-4.608862954735756468e+00,-1.635714446434473562e-05,-5.340797889191315812e-05,5.585667716886214424e-05
