theta_b_over_pi, Real, Imaginary, Absolute
-4.999998959779536456e+00,-5.334945148015615296e-07,-3.303611940223603274e-06,3.346411249220770129e-06
-4.978694479097256043e+00,-5.053145677662072235e-07,-3.335529409894426913e-06,3.373588483598350028e-06
-4.957402730810422042e+00,-5.208284359204915354e-07,-3.413548714918086211e-06,3.453053299441278883e-06
-4.936120531820173518e+00,-5.479544234555260970e-07,-3.481808070935057148e-06,3.524661897687916177e-06
-4.914847882126511358e+00,-6.249331546871783792e-07,-3.608726901362505461e-06,3.662437889772971758e-06
-4.893591147927157436e+00,-7.210626996135443675e-07,-3.733319684420900141e-06,3.802316041948452076e-06
-4.872366244716422656e+00,-8.761298895552176746e-07,-3.927359073479179200e-06,4.023897721788077143e-06
-4.851195454186338019e+00,-1.065917652179069235e-06,-4.129114908972687178e-06,4.264477737393814017e-06
-4.830107424226661728e+00,-1.330394279501624241e-06,-4.413345770386044125e-06,4.609508631938444900e-06
-4.809133985826012037e+00,-1.655656277424925286e-06,-4.714160145487121301e-06,4.996449097736883767e-06
-4.788300603775282660e+00,-2.080939790146423598e-06,-5.107769106137810556e-06,5.515398050171038056e-06
-4.767635925964230914e+00,-2.604982066787347195e-06,-5.519417982213781215e-06,6.103270142363725241e-06
-4.747159050986027751e+00,-3.263795461392756831e-06,-6.023669503784114959e-06,6.851055035877811564e-06
-4.726879528137258646e+00,-4.068149630784905513e-06,-6.530633710656641420e-06,7.694089814995682417e-06
-4.706800540516785425e+00,-5.043689410036501196e-06,-7.107204011493106741e-06,8.714995796091818360e-06
-4.686915721926883549e+00,-6.206214742809196284e-06,-7.640578440905007154e-06,9.843553237804152499e-06
-4.667205973774382954e+00,-7.554453583408406379e-06,-8.181223106916032546e-06,1.113562663117836935e-05
-4.647645831268389927e+00,-9.090400174999001062e-06,-8.587791486910821301e-06,1.250542034336630485e-05
-4.628209829618007198e+00,-1.075661672192865944e-05,-8.889085517782199379e-06,1.395423393257116364e-05
-4.608862954735756468e+00,-1.251166220813062023e-05,-8.925250577087881032e-06,1.536885776738699172e-05
