theta_b_over_pi, Real, Imaginary, Absolute
-4.999998959779536456e+00,2.132544754118725905e-07,-8.744435445369920269e-07,9.000716548506631751e-07
-4.978694479097256043e+00,2.241628802579498370e-07,-8.792046320612219058e-07,9.073311313536246475e-07
-4.957402730810422042e+00,2.301614999330088848e-07,-9.078215986354127888e-07,9.365438436081724733e-07
-4.936120531820173518e+00,2.249416416096513003e-07,-9.291583644710499357e-07,9.559989583658348695e-07
-4.914847882126511358e+00,2.153018063092796701e-07,-9.797604316001220572e-07,1.003137762786994355e-06
-4.893591147927157436e+00,1.920921626208382804e-07,-1.026283084589370679e-06,1.044105535209264095e-06
-4.872366244716422656e+00,1.622134172170793262e-07,-1.105274471058237395e-06,1.117114519240668011e-06
-4.851195454186338019e+00,1.131629333942877629e-07,-1.184991996675913935e-06,1.190383081902783599e-06
-4.830107424226661728e+00,5.264444813413149404e-08,-1.300950444260706718e-06,1.302015167477505771e-06
-4.809133985826012037e+00,-3.732336676757578447e-08,-1.422828627066034197e-06,1.423318072570387444e-06
-4.788300603775282660e+00,-1.480594236843065245e-07,-1.583627621926098072e-06,1.590533884539728279e-06
-4.767635925964230914e+00,-3.045002158567436962e-07,-1.753352670164076699e-06,1.779597136272224174e-06
-4.747159050986027751e+00,-4.964403134503451182e-07,-1.960082921452036782e-06,2.021973798986185961e-06
-4.726879528137258646e+00,-7.558705554799871607e-07,-2.172019999117461804e-06,2.299785027607546228e-06
-4.706800540516785425e+00,-1.068963998799669308e-06,-2.408363423948382216e-06,2.634938028216632331e-06
-4.686915721926883549e+00,-1.471759172015178148e-06,-2.632468749652616680e-06,3.015952051725692333e-06
-4.667205973774382954e+00,-1.941109057194504668e-06,-2.849520195506253468e-06,3.447850013634661770e-06
-4.647645831268389927e+00,-2.508062199998069466e-06,-3.015716615095698216e-06,3.922361877953563869e-06
-4.628209829618007198e+00,-3.128953342942016227e-06,-3.119609038056599295e-06,4.418405772745689789e-06
-4.608862954735756468e+00,-3.814137755853153067e-06,-3.114850888626581784e-06,4.924423101136044151e-06
-4.589563826336433117e+00,-4.488449443821688006e-06,-2.983201715286061720e-06,5.389403574035713516e-06
-4.570280613431419781e+00,-5.132886296147868093e-06,-2.696963482170152040e-06,5.798287139607862256e-06
-4.550965569537787303e+00,-5.652112757085584277e-06,-2.257917827819255763e-06,6.086425185278599364e-06
-4.531583680568055605e+00,-6.022434926459633103e-06,-1.684748885584970827e-06,6.253647036003922278e-06
-4.512090383138160909e+00,-6.176477436762676048e-06,-1.016570086183795189e-06,6.259575725795013368e-06
-4.492450663160620472e+00,-6.128940744550466682e-06,-3.107495724445167324e-07,6.136813501075723058e-06
-4.472629506547955991e+00,-5.874724507748396718e-06,3.826961982866805556e-07,5.887176268986917084e-06
-4.452595082311548325e+00,-5.469337821750741568e-06,1.012159586366578878e-06,5.562204889853205412e-06
-4.432312376363916506e+00,-4.945506342816466755e-06,1.553242370277985174e-06,5.183685450301231568e-06
-4.411765473210753186e+00,-4.361613160123548410e-06,1.985716759615267175e-06,4.792362716654477708e-06
-4.390925724962300158e+00,-3.749715389744778804e-06,2.313597642948176609e-06,4.406029908834504805e-06
-4.369786765420834662e+00,-3.146988499717432670e-06,2.540037579971491606e-06,4.044172044438912130e-06
-4.348332679092047570e+00,-2.570644070942762482e-06,2.681277483892093208e-06,3.714493220494539066e-06
-4.326563465975937994e+00,-2.036958155334407841e-06,2.748683684217212431e-06,3.421178235997835613e-06
-4.304469576775921347e+00,-1.551625553967520783e-06,2.758702654167184867e-06,3.165119617618595675e-06
-4.282060560788582215e+00,-1.118605062799815641e-06,2.722857952145810952e-06,2.943676733964696054e-06
-4.259339601112783313e+00,-7.382202949675804627e-07,2.653959607338644229e-06,2.754717916826895848e-06
-4.236313063946248292e+00,-4.088148877201547293e-07,2.561735234015334775e-06,2.594150539505609552e-06
-4.212990498585561738e+00,-1.289616890313519952e-07,2.455643993926059920e-06,2.459027966929809345e-06
-4.189391003623895493e+00,1.054130841874704465e-07,2.343927278047885920e-06,2.346296443993146766e-06
-4.165536860753282333e+00,2.961735011316098407e-07,2.233585599735003153e-06,2.253136341661580251e-06
