theta_b_over_pi, Real, Imaginary, Absolute
-4.999998959779536456e+00,-5.850157160967806522e-08,-5.255660308655116449e-08,7.864242117839182453e-08
-4.978694479097256043e+00,-5.834634494730100405e-08,-5.315120804491487899e-08,7.892621164951009097e-08
-4.957402730810422042e+00,-5.962245002120451094e-08,-5.416840211165637427e-08,8.055465432773656668e-08
-4.936120531820173518e+00,-6.060561975187109967e-08,-5.499306408884675694e-08,8.183690025525401533e-08
-4.914847882126511358e+00,-6.325097946622152396e-08,-5.633816694176462696e-08,8.470345599675680410e-08
-4.893591147927157436e+00,-6.573362544060339243e-08,-5.755882010699666751e-08,8.737234851871125232e-08
-4.872366244716422656e+00,-7.023524899292054815e-08,-5.942673689395236727e-08,9.200286549320399841e-08
-4.851195454186338019e+00,-7.477901425272610559e-08,-6.126895934054128600e-08,9.667360731493531988e-08
-4.830107424226661728e+00,-8.190018759887159238e-08,-6.388209363688230858e-08,1.038680057388306613e-07
-4.809133985826012037e+00,-8.929941344348115971e-08,-6.654495001918466950e-08,1.113670310927141888e-07
-4.788300603775282660e+00,-1.000522930885220822e-07,-7.000708796325118547e-08,1.221124633989746077e-07
-4.767635925964230914e+00,-1.112642599922917485e-07,-7.351127746761526002e-08,1.333553278521447517e-07
-4.747159050986027751e+00,-1.268044268497046598e-07,-7.762667967577527099e-08,1.486783913894938520e-07
-4.726879528137258646e+00,-1.427536901198744017e-07,-8.164332028757319925e-08,1.644513538722633635e-07
-4.706800540516785425e+00,-1.640717306327787575e-07,-8.569988449851080790e-08,1.851053834870644871e-07
-4.686915721926883549e+00,-1.851541839803134693e-07,-8.935155813527997913e-08,2.055864119698042923e-07
-4.667205973774382954e+00,-2.123313610140467277e-07,-9.188021366126748270e-08,2.313581218209501443e-07
-4.647645831268389927e+00,-2.373865324716381125e-07,-9.358179716345442469e-08,2.551664526524794006e-07
-4.628209829618007198e+00,-2.682117647874276464e-07,-9.227615500012553790e-08,2.836413925223072872e-07
-4.608862954735756468e+00,-2.930286333806396544e-07,-8.993104045666611313e-08,3.065181430495491061e-07
-4.589563826336433117e+00,-3.215615467116106153e-07,-8.227320946906156958e-08,3.319197332487229742e-07
-4.570280613431419781e+00,-3.384573319519299119e-07,-7.442392504651532831e-08,3.465433395281868963e-07
-4.550965569537787303e+00,-3.560227004071078918e-07,-5.949996151186326161e-08,3.609603975855003894e-07
-4.531583680568055605e+00,-3.572943180837850963e-07,-4.718750601256016199e-08,3.603968513439627520e-07
-4.512090383138160909e+00,-3.580391250431318152e-07,-2.740477656415202495e-08,3.590863918894483395e-07
-4.492450663160620472e+00,-3.423615579188492575e-07,-1.444560953491539329e-08,3.426661815462051205e-07
-4.472629506547955991e+00,-3.283289111963955435e-07,5.679068669693444367e-09,3.283780226330100664e-07
-4.452595082311548325e+00,-3.021370153372850279e-07,1.539304263962192614e-08,3.025288776276209199e-07
-4.432312376363916506e+00,-2.808776960319141017e-07,3.252248396828269950e-08,2.827542963275068577e-07
-4.411765473210753186e+00,-2.525563466573505724e-07,3.748479229645745621e-08,2.553229678082572633e-07
-4.390925724962300158e+00,-2.308845988880608046e-07,5.084631028772882406e-08,2.364171002139581509e-07
-4.369786765420834662e+00,-2.058136151162322157e-07,5.165510856758520702e-08,2.121968294021887325e-07
-4.348332679092047570e+00,-1.871115849959105431e-07,6.204512672760899564e-08,1.971302690870352182e-07
-4.326563465975937994e+00,-1.671755750779464677e-07,5.997788189465412017e-08,1.776091754927407825e-07
-4.304469576775921347e+00,-1.521481963485207223e-07,6.850127319715366505e-08,1.668577180766268691e-07
-4.282060560788582215e+00,-1.372589517115530773e-07,6.462709700676087943e-08,1.517124961645405719e-07
-4.259339601112783313e+00,-1.254028022797695804e-07,7.211483523391928346e-08,1.446596428878293343e-07
-4.236313063946248292e+00,-1.148220371463779963e-07,6.709668201749320874e-08,1.329889655279745414e-07
-4.212990498585561738e+00,-1.053842605578468623e-07,7.402853475737882208e-08,1.287869027954651999e-07
-4.189391003623895493e+00,-9.838127388597500607e-08,6.823743922220425259e-08,1.197297922951144454e-07
-4.165536860753282333e+00,-9.078552067736391885e-08,7.485658013145343034e-08,1.176669807279713469e-07
-4.141453534764615974e+00,-8.681739432618624929e-08,6.852398883927817021e-08,1.106019755882960549e-07
-4.117185589041963745e+00,-8.075640824817176929e-08,7.493969600013838773e-08,1.101705746092782411e-07
-4.092774403870529376e+00,-7.938987226911910658e-08,6.820747087055498024e-08,1.046661879570697491e-07
-4.068267725733239359e+00,-7.476498388928832337e-08,7.440119511956712941e-08,1.054767303777730933e-07
-4.043719667310745614e+00,-7.551563974940055496e-08,6.727935855601663792e-08,1.011391315686974595e-07
-4.019168425789390042e+00,-7.238971626718475473e-08,7.309227051524429564e-08,1.028724989018793261e-07
-3.994661747652099582e+00,-7.472889498825923325e-08,6.558244758604129569e-08,9.942567665116557364e-08
-3.970225097689770166e+00,-7.361288279215133431e-08,7.112987159378819895e-08,1.023636417187265113e-07
-3.945877574495571860e+00,-7.702162084994961030e-08,6.318798642603929369e-08,9.962455373516469728e-08
-3.921631910464952409e+00,-7.850311863082212572e-08,6.852523387788888646e-08,1.042038737897219573e-07
-3.897500837993359557e+00,-8.239970397639060594e-08,5.992771624598069174e-08,1.018874005451880179e-07
-3.873493906377377449e+00,-8.755994995272301668e-08,6.533789797848738781e-08,1.092510217250648219e-07
-3.849627031111316988e+00,-9.176490866981610384e-08,5.597608590604908283e-08,1.074900956206713782e-07
-3.825938409381519190e+00,-1.025442304354694672e-07,6.197096036096149567e-08,1.198153542901014042e-07
-3.802466238374326846e+00,-1.074138169240317022e-07,5.162977145319745064e-08,1.191778560240903224e-07
-3.779270996968114193e+00,-1.271422662919727334e-07,5.865182631119769343e-08,1.400185437986619276e-07
-3.756419530238979565e+00,-1.334262690013288255e-07,4.658742327942331628e-08,1.413257133979203247e-07
-3.733972317065298530e+00,-1.675843810893289741e-07,5.451153896807052459e-08,1.762272188561146000e-07
-3.711993019424307594e+00,-1.759208921394060418e-07,3.903023568856214696e-08,1.801985560126086299e-07
-3.690523017601211375e+00,-2.331570239050313895e-07,4.649961882913134611e-08,2.377486326932415512e-07
-3.669590959485764969e+00,-2.431510829318855953e-07,2.475866464215614406e-08,2.444083480689877025e-07
-3.649200028176831534e+00,-3.364721778990306625e-07,2.824939271806459373e-08,3.376559709068631326e-07
-3.629337491278962879e+00,-3.453681111891577087e-07,-3.508282712692565624e-09,3.453859294672534438e-07
-3.609974700902403022e+00,-4.933372054701890162e-07,-1.104770095629102010e-08,4.934608900384661206e-07
-3.591076642959671439e+00,-4.940061327673406587e-07,-5.657355469231832724e-08,4.972349809720431771e-07
-3.572595570967840306e+00,-7.208566510441158437e-07,-8.747836378899975951e-08,7.261451476707248381e-07
