theta_b_over_pi, Real, Imaginary, Absolute
-4.999998959779536456e+00,3.667607180920148025e-09,-2.790799258356457813e-10,3.678209895933273874e-09
-4.978694479097256043e+00,3.644406253321285127e-09,-2.617423321292654735e-10,3.653793369592176769e-09
-4.957402730810422042e+00,4.054239442928696485e-09,-2.981159744989507083e-10,4.065185185800303091e-09
-4.936120531820173518e+00,4.047064964633288059e-09,-4.860567133964840388e-10,4.076148421807040800e-09
-4.914847882126511358e+00,4.543871057194337482e-09,-7.378768744163247916e-10,4.603392929808054999e-09
-4.893591147927157436e+00,4.683020420830846714e-09,-1.194769179887108115e-09,4.833027379927288467e-09
-4.872366244716422656e+00,5.260761771887069221e-09,-1.772300755536409591e-09,5.551275924382006982e-09
-4.851195454186338019e+00,5.507623799003467002e-09,-2.681848905912905662e-09,6.125865935971470947e-09
-4.830107424226661728e+00,6.079149786033769194e-09,-3.807602904575763030e-09,7.173137528304347846e-09
-4.809133985826012037e+00,6.257424751194347012e-09,-5.461907785312784461e-09,8.305889547310392882e-09
-4.788300603775282660e+00,6.510125100728853887e-09,-7.471098268436233172e-09,9.909542782781188907e-09
-4.767635925964230914e+00,6.110160545426247586e-09,-1.022242559242967165e-08,1.190932604657562927e-08
-4.747159050986027751e+00,5.270067779703266963e-09,-1.341117863675991549e-08,1.440948738955525993e-08
-4.726879528137258646e+00,3.208516810262709726e-09,-1.737317679347446105e-08,1.766697065201213012e-08
-4.706800540516785425e+00,-1.348793214463030177e-10,-2.150105460587939065e-08,2.150147766076464658e-08
-4.686915721926883549e+00,-5.505422093518872031e-09,-2.582696115243581888e-08,2.640722618521746069e-08
-4.667205973774382954e+00,-1.303101602919317366e-08,-2.920480718494723576e-08,3.198012103577838187e-08
-4.647645831268389927e+00,-2.299717323239747136e-08,-3.112014815719198154e-08,3.869539504910730447e-08
-4.628209829618007198e+00,-3.498188531933819233e-08,-2.989182744291459522e-08,4.601362459502957798e-08
-4.608862954735756468e+00,-4.803056101978756061e-08,-2.472652174863772873e-08,5.402162224203741231e-08
-4.589563826336433117e+00,-6.044336421003512453e-08,-1.430222569511998885e-08,6.211242980966938595e-08
-4.570280613431419781e+00,-6.976657323952571541e-08,1.099456464142494653e-09,6.977523590861337402e-08
-4.550965569537787303e+00,-7.360197192459358397e-08,2.067877657749603627e-08,7.645169763929811824e-08
-4.531583680568055605e+00,-6.984539469259390737e-08,4.174047371445037116e-08,8.136735405352042889e-08
-4.512090383138160909e+00,-5.804487833592651919e-08,6.115051149890860225e-08,8.431247213556643117e-08
-4.492450663160620472e+00,-3.915360093426695734e-08,7.535601456412324250e-08,8.492074774228135407e-08
-4.472629506547955991e+00,-1.600561970368138127e-08,8.193979239321278904e-08,8.348837906883619505e-08
-4.452595082311548325e+00,7.998729461494096448e-09,7.987446587599657424e-08,8.027396820871579811e-08
-4.432312376363916506e+00,2.928211545831042388e-08,6.990840199073823286e-08,7.579331734798573270e-08
-4.411765473210753186e+00,4.529842314582310659e-08,5.407964588736528248e-08,7.054470383239883381e-08
-4.390925724962300158e+00,5.461888940140448194e-08,3.513382967273376040e-08,6.494312178295343914e-08
-4.369786765420834662e+00,5.721933481102799697e-08,1.584040185933746434e-08,5.937146290333279643e-08
-4.348332679092047570e+00,5.403094449876435733e-08,-1.545836745029147555e-09,5.405305333346893176e-08
-4.326563465975937994e+00,4.664289300472369609e-08,-1.555009580853392415e-08,4.916670568082314757e-08
-4.304469576775921347e+00,3.679266424367395130e-08,-2.554010537873334154e-08,4.478835925666989143e-08
-4.282060560788582215e+00,2.607004851995498294e-08,-3.158223817776059841e-08,4.095223068588091446e-08
-4.259339601112783313e+00,1.570298324951282752e-08,-3.422068530767319184e-08,3.765154692520986582e-08
-4.236313063946248292e+00,6.485535229848614751e-09,-3.424947144657785130e-08,3.485811901964245093e-08
-4.212990498585561738e+00,-1.169431398631262374e-09,-3.251267746880633367e-08,3.253370200248861224e-08
-4.189391003623895493e+00,-7.184500500696029379e-09,-2.979138133222629095e-08,3.064544744536490864e-08
-4.165536860753282333e+00,-1.166858280122874651e-08,-2.671505537282175588e-08,2.915218702193823139e-08
-4.141453534764615974e+00,-1.488092231167254688e-08,-2.376230333488314978e-08,2.803727712573089110e-08
-4.117185589041963745e+00,-1.707466626359948721e-08,-2.125089011428826713e-08,2.726067788340666422e-08
-4.092774403870529376e+00,-1.852513745366953574e-08,-1.939251655061171752e-08,2.681884441662427576e-08
-4.068267725733239359e+00,-1.938692639511272232e-08,-1.830970425152776854e-08,2.666642429775564057e-08
-4.043719667310745614e+00,-1.979464544869339862e-08,-1.808506269185272884e-08,2.681226363080375615e-08
-4.019168425789390042e+00,-1.973839572776291423e-08,-1.877502392567799277e-08,2.724161869851992497e-08
-3.994661747652099582e+00,-1.933885138940796642e-08,-2.050505835250583635e-08,2.818596443447120715e-08
-3.970225097689770166e+00,-1.855713824580915617e-08,-2.344117611130513978e-08,2.989742660088482514e-08
-3.945877574495571860e+00,-1.695034058791912207e-08,-2.758946746123709050e-08,3.238043793467158150e-08
-3.921631910464952409e+00,-1.408913665241268833e-08,-3.302721864884006076e-08,3.590683699922129499e-08
-3.897500837993359557e+00,-9.197780453323250424e-09,-3.964553248655041512e-08,4.069849396979770042e-08
-3.873493906377377449e+00,-1.430376851531257731e-09,-4.722536791253636307e-08,4.724702479957669606e-08
-3.849627031111316988e+00,1.042694693056647524e-08,-5.521872713150818009e-08,5.619456422392478109e-08
-3.825938409381519190e+00,2.776974774576501857e-08,-6.268113202799617894e-08,6.855715281554879071e-08
-3.802466238374326846e+00,5.243462924100741958e-08,-6.795806244655169877e-08,8.583524098603866171e-08
-3.779270996968114193e+00,8.652696660899690316e-08,-6.828903372656390885e-08,1.102284358859466359e-07
-3.756419530238979565e+00,1.323778036521616847e-07,-5.907532541174178818e-08,1.449612947385385927e-07
-3.733972317065298530e+00,1.917668230236005273e-07,-3.301972787047209876e-08,1.945888404847640743e-07
-3.711993019424307594e+00,2.646321661359252069e-07,2.085108358566382451e-08,2.654523517328265318e-07
-3.690523017601211375e+00,3.466904129507181992e-07,1.174940659135851769e-07,3.660588722553319092e-07
-3.669590959485764969e+00,4.263761563076211006e-07,2.752665516759912516e-07,5.075118729047154517e-07
-3.649200028176831534e+00,4.817147984997266528e-07,5.132433544632578292e-07,7.038947989538845912e-07
-3.629337491278962879e+00,4.776865656216008109e-07,8.471428928815940715e-07,9.725407631226342378e-07
-3.609974700902403022e+00,3.660743806853537880e-07,1.282922918714272550e-06,1.334129554262446084e-06
-3.591076642959671439e+00,8.684562955194350298e-08,1.810383582778740717e-06,1.812465414888533238e-06
-3.572595570967840306e+00,-4.251644510431005067e-07,2.396023324359299013e-06,2.433452810576890210e-06
