theta_b_over_pi, Real, Imaginary, Absolute
-4.999998959779536456e+00,1.846878895358021921e-07,-1.850916571447826010e-07,2.614737808763823993e-07
-4.978694479097256043e+00,1.908446570669253826e-07,-1.845889040657629848e-07,2.655084681044877621e-07
-4.957402730810422042e+00,1.895462562451658491e-07,-1.896681893308084781e-07,2.681451198522648628e-07
-4.936120531820173518e+00,1.973730878950095034e-07,-1.923456989970994025e-07,2.755957251988751403e-07
-4.914847882126511358e+00,1.976109688409702542e-07,-2.012438524265656775e-07,2.820446474332606070e-07
-4.893591147927157436e+00,2.080770526004332222e-07,-2.082226854727707446e-07,2.943683858099844933e-07
-4.872366244716422656e+00,2.103513951332488496e-07,-2.221914809986614285e-07,3.059685664621166839e-07
-4.851195454186338019e+00,2.249119319120395864e-07,-2.353723405467583521e-07,3.255541672454295716e-07
-4.830107424226661728e+00,2.298852645134558629e-07,-2.563764228200661325e-07,3.443488130057005501e-07
-4.809133985826012037e+00,2.503151283376889441e-07,-2.784684777486524650e-07,3.744360513817619100e-07
-4.788300603775282660e+00,2.583406447883899737e-07,-3.089819255677744956e-07,4.027526773061239536e-07
-4.767635925964230914e+00,2.863750205329821295e-07,-3.433792051885540568e-07,4.471240666092455752e-07
-4.747159050986027751e+00,2.968967587207812146e-07,-3.859209693594602673e-07,4.869113676330131253e-07
-4.726879528137258646e+00,3.337251306437841364e-07,-4.363023378056878031e-07,5.493015499686118042e-07
-4.706800540516785425e+00,3.444903901260968104e-07,-4.923697342710801320e-07,6.009172855854659521e-07
-4.686915721926883549e+00,3.898780342144115772e-07,-5.615049045368428581e-07,6.835880626384744896e-07
-4.667205973774382954e+00,3.958892148145083521e-07,-6.292873702193425509e-07,7.434587175654233107e-07
-4.647645831268389927e+00,4.467494516644845032e-07,-7.162752556592634761e-07,8.441773003535814422e-07
-4.628209829618007198e+00,4.393788425548731147e-07,-7.867311124958876187e-07,9.011102100486249002e-07
-4.608862954735756468e+00,4.883785094464053429e-07,-8.825736171604694780e-07,1.008687145846920962e-06
-4.589563826336433117e+00,4.565484241577938694e-07,-9.358654834000780674e-07,1.041287984479138502e-06
-4.570280613431419781e+00,4.933680793471279155e-07,-1.021344516925027088e-06,1.134264820917712720e-06
-4.550965569537787303e+00,4.296871632284505667e-07,-1.030962676262728108e-06,1.116922153997367796e-06
-4.531583680568055605e+00,4.473113866051091127e-07,-1.084817398692522259e-06,1.173420753648322049e-06
-4.512090383138160909e+00,3.568339610605117906e-07,-1.034858845778769010e-06,1.094652139472947412e-06
-4.492450663160620472e+00,3.580660834701568158e-07,-1.050967005188429502e-06,1.110289586606302271e-06
-4.472629506547955991e+00,2.580641848357839854e-07,-9.506373316133633981e-07,9.850423644452727637e-07
-4.452595082311548325e+00,2.525242463065376081e-07,-9.430054566745632806e-07,9.762314204586362761e-07
-4.432312376363916506e+00,1.607132396155431156e-07,-8.180641415308568241e-07,8.337011965004852507e-07
-4.411765473210753186e+00,1.560566571875086685e-07,-8.065481941173614368e-07,8.215069504797367000e-07
-4.390925724962300158e+00,8.144039000675552972e-08,-6.796495853167758214e-07,6.845115747346554171e-07
-4.369786765420834662e+00,7.995022392881678363e-08,-6.771738603125143885e-07,6.818771703150213665e-07
-4.348332679092047570e+00,2.354235992993324824e-08,-5.595757932305375637e-07,5.600708089881633845e-07
-4.326563465975937994e+00,2.411612503210167106e-08,-5.706476198579737905e-07,5.711569780157943421e-07
-4.304469576775921347e+00,-1.659018530657159213e-08,-4.647177413225269649e-07,4.650137775898876105e-07
-4.282060560788582215e+00,-1.592479136546320269e-08,-4.890640278763080567e-07,4.893232289015429057e-07
-4.259339601112783313e+00,-4.384747248989843286e-08,-3.930799930678888944e-07,3.955179917450077250e-07
