theta_b_over_pi, Real, Imaginary, Absolute
-4.999998959779536456e+00,-5.716369888292543029e-08,-1.693932985720289664e-07,1.787785727403883210e-07
-4.978694479097256043e+00,-5.609456028883947155e-08,-1.706853366354238385e-07,1.796665907628522041e-07
-4.957402730810422042e+00,-5.797777440346991577e-08,-1.738716087324034665e-07,1.832832743268562787e-07
-4.936120531820173518e+00,-5.864156040165616988e-08,-1.769793351946171854e-07,1.864417273366393071e-07
-4.914847882126511358e+00,-6.259252811142945248e-08,-1.823618054796756409e-07,1.928047008586334956e-07
-4.893591147927157436e+00,-6.543127535364835585e-08,-1.880247771182471788e-07,1.990843253618211867e-07
-4.872366244716422656e+00,-7.215299284807758544e-08,-1.965019667616565035e-07,2.093300678787782207e-07
-4.851195454186338019e+00,-7.792782920021187723e-08,-2.058815955703991370e-07,2.201362713377120728e-07
-4.830107424226661728e+00,-8.858657324252077670e-08,-2.187341035040693680e-07,2.359919256978539867e-07
-4.809133985826012037e+00,-9.848059137652062951e-08,-2.332709845502714532e-07,2.532069886691957412e-07
-4.788300603775282660e+00,-1.147849546586149254e-07,-2.518507271096536151e-07,2.767749529159773790e-07
-4.767635925964230914e+00,-1.304177977307932147e-07,-2.729270906441683727e-07,3.024863612998777598e-07
-4.747159050986027751e+00,-1.545963600126336013e-07,-2.981934715238275581e-07,3.358859642625568104e-07
-4.726879528137258646e+00,-1.778526558847719877e-07,-3.266209571760088670e-07,3.719043114456181666e-07
-4.706800540516785425e+00,-2.123144737467485077e-07,-3.583759866258760407e-07,4.165462561978307176e-07
-4.686915721926883549e+00,-2.446980529496472187e-07,-3.934702852751085361e-07,4.633529998951378572e-07
-4.667205973774382954e+00,-2.909544670477207237e-07,-4.290306750109342799e-07,5.183838558398218067e-07
-4.647645831268389927e+00,-3.320033467581432678e-07,-4.670661989446301333e-07,5.730419325452481530e-07
-4.628209829618007198e+00,-3.883186629541854103e-07,-4.994482963974403543e-07,6.326452282067981621e-07
-4.608862954735756468e+00,-4.328872479608127916e-07,-5.320457945686506381e-07,6.859038540242160088e-07
-4.589563826336433117e+00,-4.911621263222835376e-07,-5.493409092413107229e-07,7.368959688446509577e-07
-4.570280613431419781e+00,-5.276305531433345064e-07,-5.646621982990929000e-07,7.728113604226488535e-07
