theta_b_over_pi, Real, Imaginary, Absolute
-4.999998959779536456e+00,1.737987099164930999e-08,-6.259817128419280426e-09,1.847282399005697755e-08
-4.978694479097256043e+00,1.738372966348547196e-08,-6.152068236484909896e-09,1.844022778057557725e-08
-4.957402730810422042e+00,1.886702759241356760e-08,-6.678089675452146377e-09,2.001403537236494902e-08
-4.936120531820173518e+00,1.875089980869589644e-08,-7.441589769517581807e-09,2.017358426094729850e-08
-4.914847882126511358e+00,2.041145532787239782e-08,-8.936028477566167517e-09,2.228183371164958711e-08
-4.893591147927157436e+00,2.057946848681339171e-08,-1.090872659836389546e-08,2.329194794768349741e-08
-4.872366244716422656e+00,2.231550723918041344e-08,-1.374870673348274625e-08,2.621085271762876397e-08
-4.851195454186338019e+00,2.253100901985204480e-08,-1.754045303206784587e-08,2.855370133665392923e-08
-4.830107424226661728e+00,2.391642964831273290e-08,-2.242266843697022721e-08,3.278371039032941618e-08
-4.809133985826012037e+00,2.345284723913743450e-08,-2.891593086712626267e-08,3.723126510790013184e-08
-4.788300603775282660e+00,2.332097649293058193e-08,-3.678417485584462728e-08,4.355391445563960902e-08
-4.767635925964230914e+00,2.043970225923638303e-08,-4.691043866399546869e-08,5.117001743301162337e-08
-4.747159050986027751e+00,1.630887865335649629e-08,-5.844797179577199131e-08,6.068068003878388150e-08
-4.726879528137258646e+00,7.736966777394587595e-09,-7.231722946081073395e-08,7.272992734632738353e-08
-4.706800540516785425e+00,-4.492977439371854448e-09,-8.661499004016030876e-08,8.673144381323174327e-08
-4.686915721926883549e+00,-2.337130960259143846e-08,-1.016887786729215731e-07,1.043399531365172347e-07
-4.667205973774382954e+00,-4.835632470291250522e-08,-1.140235980610372207e-07,1.238536033127760025e-07
-4.647645831268389927e+00,-8.113796552507941698e-08,-1.227864635087944641e-07,1.471729766993434448e-07
-4.628209829618007198e+00,-1.200033714138478987e-07,-1.228539962707857476e-07,1.717379211193385814e-07
-4.608862954735756468e+00,-1.633799927424700869e-07,-1.126749287881585045e-07,1.984657693556905827e-07
