theta_b_over_pi, Real, Imaginary, Absolute
-4.999998959779536456e+00,1.179106632473624971e-07,-1.383995684959022845e-07,1.818168448392086485e-07
-4.978694479097256043e+00,1.197716880567973197e-07,-1.381294842477918267e-07,1.828250849269206061e-07
-4.957402730810422042e+00,1.256053851188590636e-07,-1.449988850312210719e-07,1.918368823536135655e-07
-4.936120531820173518e+00,1.245599270063432956e-07,-1.503105496712645914e-07,1.952138231742395577e-07
-4.914847882126511358e+00,1.286796311113845378e-07,-1.641185738232339435e-07,2.085506023408570542e-07
-4.893591147927157436e+00,1.255722626401040210e-07,-1.776499836881718622e-07,2.175497870579582633e-07
-4.872366244716422656e+00,1.268959085138626330e-07,-2.003300772549722523e-07,2.371385912299846277e-07
-4.851195454186338019e+00,1.196882839457565699e-07,-2.249034969039751192e-07,2.547682637879302140e-07
-4.830107424226661728e+00,1.152265139851690361e-07,-2.594547742986871804e-07,2.838906997975753593e-07
-4.809133985826012037e+00,9.935960941007540618e-08,-2.985994885488679093e-07,3.146966579799795614e-07
-4.788300603775282660e+00,8.267934414648829908e-08,-3.483380103890785380e-07,3.580157027705841462e-07
-4.767635925964230914e+00,4.938471192267667440e-08,-4.049364885391464141e-07,4.079367714758011424e-07
-4.747159050986027751e+00,9.078744829202285867e-09,-4.711898467808458952e-07,4.712773019327695415e-07
-4.726879528137258646e+00,-5.563785385128481552e-08,-5.441094395656421928e-07,5.469466637667827983e-07
-4.706800540516785425e+00,-1.359674992359709642e-07,-6.215383808573297895e-07,6.362366853044823284e-07
-4.686915721926883549e+00,-2.495133967241077138e-07,-6.996416604647008797e-07,7.428023883931753178e-07
-4.667205973774382954e+00,-3.866349322592252343e-07,-7.692465066824336014e-07,8.609452705522128442e-07
-4.647645831268389927e+00,-5.611097471859117761e-07,-8.241282543206174036e-07,9.970112978078965827e-07
-4.628209829618007198e+00,-7.582137578402638117e-07,-8.476150067972992542e-07,1.137250764926645377e-06
-4.608862954735756468e+00,-9.809014698553352835e-07,-8.324534229223957899e-07,1.286524929762175487e-06
-4.589563826336433117e+00,-1.204287935039208116e-06,-7.601329815422123968e-07,1.424117825219968760e-06
-4.570280613431419781e+00,-1.416179185419403997e-06,-6.309138332150549523e-07,1.550359877627540080e-06
-4.550965569537787303e+00,-1.584680736665719241e-06,-4.378884654592997007e-07,1.644067926012093696e-06
-4.531583680568055605e+00,-1.692648623325209182e-06,-1.998489415563141166e-07,1.704405750250187528e-06
-4.512090383138160909e+00,-1.719690261624952723e-06,7.057357070370345402e-08,1.721137770432561650e-06
-4.492450663160620472e+00,-1.663810420955377734e-06,3.411473723277362679e-07,1.698424754449201607e-06
-4.472629506547955991e+00,-1.530316145614593342e-06,5.928150106596381190e-07,1.641126790468089287e-06
-4.452595082311548325e+00,-1.336164025796027440e-06,8.006292309220681576e-07,1.557671810503839495e-06
-4.432312376363916506e+00,-1.102232753258617077e-06,9.566613703390566328e-07,1.459492384308692761e-06
-4.411765473210753186e+00,-8.493564992699867053e-07,1.053693623323348919e-06,1.353394515536565452e-06
-4.390925724962300158e+00,-5.968100374938078572e-07,1.096646491668194427e-06,1.248525429673548754e-06
-4.369786765420834662e+00,-3.579408684722596858e-07,1.090634932455593045e-06,1.147870298080358747e-06
-4.348332679092047570e+00,-1.433875500792287574e-07,1.046039494909525694e-06,1.055821298529395470e-06
-4.326563465975937994e+00,4.226446551601451606e-08,9.718813650598600498e-07,9.727999140604255650e-07
-4.304469576775921347e+00,1.958681361594109201e-07,8.781812345872860811e-07,8.997591941979873267e-07
-4.282060560788582215e+00,3.186253058842378146e-07,7.730923316364381976e-07,8.361781142704517453e-07
-4.259339601112783313e+00,4.117930614561470380e-07,6.640418923006051538e-07,7.813610946250105254e-07
-4.236313063946248292e+00,4.794353898471448214e-07,5.567498472838122393e-07,7.347303488276715811e-07
-4.212990498585561738e+00,5.247927626267946829e-07,4.558329120309861605e-07,6.951194770657142475e-07
-4.189391003623895493e+00,5.529161989157883350e-07,3.645024923784187472e-07,6.622525122440554948e-07
-4.165536860753282333e+00,5.674631881176654206e-07,2.850311960734890047e-07,6.350253952431734849e-07
-4.141453534764615974e+00,5.732294595118412591e-07,2.185601145361323722e-07,6.134823036716584825e-07
-4.117185589041963745e+00,5.731403326593708347e-07,1.657927558266663236e-07,5.966381472932273770e-07
-4.092774403870529376e+00,5.707879306604073953e-07,1.266298589390568341e-07,5.846657018865699866e-07
-4.068267725733239359e+00,5.675656937339536646e-07,1.012182215489740517e-07,5.765205504379192235e-07
-4.043719667310745614e+00,5.653836442047093159e-07,8.917262714524614994e-08,5.723726256261583354e-07
-4.019168425789390042e+00,5.642466028783676562e-07,9.081253937017421900e-08,5.715077831199132020e-07
-3.994661747652099582e+00,5.669303911243796387e-07,1.059263363736909976e-07,5.767412393075376613e-07
-3.970225097689770166e+00,5.747741649061704268e-07,1.354427945685490525e-07,5.905168001370695802e-07
-3.945877574495571860e+00,5.847844469846019047e-07,1.805018053133569450e-07,6.120079665792494292e-07
-3.921631910464952409e+00,5.959805045502898787e-07,2.430438458527242767e-07,6.436327157711150274e-07
-3.897500837993359557e+00,6.043040561382169047e-07,3.253919797248756121e-07,6.863405370035891757e-07
-3.873493906377377449e+00,6.071504480074664012e-07,4.304003168049638623e-07,7.442285262078311152e-07
-3.849627031111316988e+00,5.988278216368888439e-07,5.619817796557865149e-07,8.212297368163591819e-07
-3.825938409381519190e+00,5.737358339908322215e-07,7.247209635623104913e-07,9.243339668279206607e-07
-3.802466238374326846e+00,5.219868323868642200e-07,9.251157316515324894e-07,1.062219078219941775e-06
-3.779270996968114193e+00,4.308534810061633273e-07,1.170044264596226779e-06,1.246851355699489036e-06
-3.756419530238979565e+00,2.802227356824005255e-07,1.467652146915342970e-06,1.494164517694937125e-06
-3.733972317065298530e+00,4.302764760091896463e-08,1.823594264719081575e-06,1.824101812063788401e-06
-3.711993019424307594e+00,-3.186916584814133819e-07,2.240516705762971187e-06,2.263068598604246833e-06
-3.690523017601211375e+00,-8.523206477238613494e-07,2.711539174073395631e-06,2.842339736743490814e-06
-3.669590959485764969e+00,-1.616489360825885551e-06,3.218908229060384447e-06,3.602000560907221739e-06
-3.649200028176831534e+00,-2.676468240795347532e-06,3.726246946593783480e-06,4.587853370693709594e-06
-3.629337491278962879e+00,-4.103802371475389425e-06,4.178255968578556351e-06,5.856536249617973483e-06
-3.609974700902403022e+00,-5.967059562263261721e-06,4.493188914645368637e-06,7.469574716293388282e-06
-3.591076642959671439e+00,-8.329559855059065731e-06,4.565017622959938304e-06,9.498471102074608548e-06
-3.572595570967840306e+00,-1.123215621346583010e-05,4.258939410879356171e-06,1.201248925532258176e-05
-3.554477372246259037e+00,-1.468772858215936811e-05,3.418817975235721511e-06,1.508037424107824098e-05
-3.536671117213137983e+00,-1.864761311190569316e-05,1.873864937109867731e-06,1.874152727431376863e-05
-3.519116326990102017e+00,-2.299500541065502328e-05,-5.384483188208832871e-07,2.300130866772790507e-05
-3.501765255094223317e+00,-2.749611493082410016e-05,-3.935262166704249044e-06,2.777629609234791216e-05
-3.484560605745989470e+00,-3.181273132213391364e-05,-8.341518646085070666e-06,3.288815603674467646e-05
-3.467448266264748558e+00,-3.548524484281091225e-05,-1.361997228161000832e-05,3.800929158121818329e-05
-3.450377307068712263e+00,-3.803710229050843582e-05,-1.945220553371906525e-05,4.272247009226704916e-05
-3.433296798576090048e+00,-3.903502727824045219e-05,-2.531943697404324259e-05,4.652748911445280070e-05
-3.416155811205092707e+00,-3.828533698787338037e-05,-3.064524014220335252e-05,4.903975705127766024e-05
-3.398903415373931480e+00,-3.583877642473027268e-05,-3.487268777655813922e-05,5.000522221111620660e-05
-3.381498230797402194e+00,-3.205501119001827630e-05,-3.769355138734062518e-05,4.948057758941669122e-05
-3.363886144794852484e+00,-2.741332896898421144e-05,-3.900268936202801591e-05,4.767284743575321700e-05
-3.346032143278803606e+00,-2.243950830040588557e-05,-3.898000842185710699e-05,4.497746757357549968e-05
-3.327891662865189115e+00,-1.754532016267593784e-05,-3.788099979345211222e-05,4.174695683474810814e-05
-3.309429689466529378e+00,-1.302389359517156620e-05,-3.606916861633393834e-05,3.834849057071060643e-05
-3.290623941390791174e+00,-9.022508164251005490e-06,-3.381757291053679251e-05,3.500048415570058768e-05
-3.271448953847079455e+00,-5.590893666289667284e-06,-3.140934247912422644e-05,3.190305450828612529e-05
-3.251901543736533284e+00,-2.709581941475180289e-06,-2.899738555765423427e-05,2.912370518112046290e-05
-3.231988077256874980e+00,-3.144100156397201734e-07,-2.673970173302532482e-05,2.674155011268217682e-05
-3.211727653001277272e+00,1.665870216013300075e-06,-2.468356390810631050e-05,2.473971404002416136e-05
-3.191152101958356635e+00,3.321386681451026352e-06,-2.289773905470204437e-05,2.313737373396011616e-05
-3.170314263569220969e+00,4.715415933729828024e-06,-2.136590267176135294e-05,2.188005814451259866e-05
