theta_b_over_pi, Real, Imaginary, Absolute
-4.999998959779536456e+00,1.906433834372602001e-07,-3.809488080348629733e-07,4.259893120626257091e-07
-4.978694479097256043e+00,1.958166260638078975e-07,-3.818014012386297127e-07,4.290879409058174354e-07
-4.957402730810422042e+00,2.030506542422224899e-07,-3.969668132759065502e-07,4.458836384423889844e-07
-4.936120531820173518e+00,2.007312475079150171e-07,-4.080228773980943984e-07,4.547259638576889027e-07
-4.914847882126511358e+00,2.017475896101804386e-07,-4.363688324691911710e-07,4.807492567482998898e-07
-4.893591147927157436e+00,1.921032049183494241e-07,-4.627030180067183708e-07,5.009967307402583523e-07
-4.872366244716422656e+00,1.845778214715210197e-07,-5.078324015219392036e-07,5.403357476742703179e-07
-4.851195454186338019e+00,1.634084561576697465e-07,-5.543065452437313538e-07,5.778910534381666000e-07
-4.830107424226661728e+00,1.415447565146559510e-07,-6.213635253476714779e-07,6.372813732797151646e-07
-4.809133985826012037e+00,1.002142382990610786e-07,-6.937033289056632179e-07,7.009045599028870975e-07
-4.788300603775282660e+00,5.237696274763414132e-08,-7.878330722099274885e-07,7.895722233554064081e-07
-4.767635925964230914e+00,-2.462277365575128721e-08,-8.901440045737335527e-07,8.904844916454554668e-07
-4.747159050986027751e+00,-1.178611896388860186e-07,-1.012631507226457114e-06,1.019467424418661634e-06
-4.726879528137258646e+00,-2.538620487544192010e-07,-1.142047405823098492e-06,1.169922312354568262e-06
-4.706800540516785425e+00,-4.189246079308956987e-07,-1.283083344847197886e-06,1.349740974022174423e-06
-4.686915721926883549e+00,-6.413118693098627245e-07,-1.420707549285630704e-06,1.558746565133310319e-06
-4.667205973774382954e+00,-9.034671974029112584e-07,-1.548882029629053080e-06,1.793122560922952008e-06
-4.647645831268389927e+00,-1.229150800851209093e-06,-1.648921143085950062e-06,2.056636240891676339e-06
-4.628209829618007198e+00,-1.590103784604687708e-06,-1.702714336676328211e-06,2.329735212022443565e-06
-4.608862954735756468e+00,-1.994709770730443321e-06,-1.690538782816514375e-06,2.614725309789584571e-06
-4.589563826336433117e+00,-2.396587482824385159e-06,-1.589867096022910212e-06,2.875988342439316107e-06
-4.570280613431419781e+00,-2.782051460006028872e-06,-1.393493661176446133e-06,3.111532566093533991e-06
-4.550965569537787303e+00,-3.092834370600821445e-06,-1.094025719794444740e-06,3.280627488688944580e-06
-4.531583680568055605e+00,-3.308745951234532526e-06,-7.143621797675460143e-07,3.384983470224507943e-06
-4.512090383138160909e+00,-3.389937625758213013e-06,-2.746875546345899913e-07,3.401048420590680137e-06
-4.492450663160620472e+00,-3.339488473655997339e-06,1.786604224949057689e-07,3.344264166038221232e-06
-4.472629506547955991e+00,-3.158579483683949811e-06,6.162381841141209025e-07,3.218132044262546261e-06
-4.452595082311548325e+00,-2.877893166441936046e-06,9.992789609500702945e-07,3.046445062568935460e-06
-4.432312376363916506e+00,-2.523966288762217840e-06,1.314530651518947214e-06,2.845768202189164891e-06
-4.411765473210753186e+00,-2.131502494352310427e-06,1.547613069503669390e-06,2.634086007769809025e-06
