x_axis,y_value,y_error_low,y_error_high
0.441254109448346,3.21039270383507,0,0
0.489705991830155,3.14319273019867,0,0
0.538599883337794,3.07587602742738,0,0
0.588533200763015,3.00872689203494,0,0
0.645871133364318,2.945666968223,0,0
0.710275496734394,2.88573924286362,0,0
0.77072659382515,2.82216715729222,0,0
0.822851398016518,2.75300931602643,0,0
0.863269625887933,2.6775708001046,0,0
0.895358569706062,2.59828422909062,0,0
0.919786790125483,2.51618273130431,0,0
0.932948379625808,2.43024431389514,0,0
0.937654290309506,2.34218596393356,0,0
0.943272568778129,2.25582456809662,0,0
0.949356980842768,2.00116047914932,0,0
0.949721131020651,2.17118187411982,0,0
0.950122850846729,2.08565251906544,0,0
0.950880978662477,1.91892610134198,0,0
0.955503400035281,1.83924221504015,0,0
0.960763989911749,1.76114323539396,0,0
0.96286804489305,1.68340235567394,0,0
0.963027337937523,1.60642841107244,0,0
0.965397974669964,1.53162635922847,0,0
0.965556125236647,1.17557895660082,0,0
0.966079095784998,1.24405604757317,0,0
0.966609089088518,1.45788475967457,0,0
0.967470803194134,1.10927918903727,0,0
0.967800814216279,1.31435507191036,0,0
0.968011173337546,1.38564748954833,0,0
0.968684673461783,1.04421717648869,0,0
0.96877128631227,0.980269348864346,0,0
0.973571265349701,0.919059396760953,0,0
0.978932697039566,0.859402883721169,0,0
0.988437611282495,0.802125625812861,0,0
1.00405903839906,0.751133428126967,0,0
1.01340026628679,0.705288820634767,0,0
1.01845841066655,0.660871713865924,0,0
1.02355042799945,0.617387280035576,0,0
1.02964784114934,0.57503713143834,0,0
1.03718320034124,0.533881408868962,0,0
1.04144168842007,0.493050173744802,0,0
1.04303794570501,0.452649325924999,0,0
1.05042624046802,0.414259514653274,0,0
1.06054846139914,0.377289423995142,0,0
1.07218197437802,0.341504833072863,0,0
1.08716686425529,0.307220193584472,0,0
1.10511314925776,0.274360010198982,0,0
1.10687539021075,0.205407540548485,0,0
1.10750611260237,0.239689540629455,0,0
1.12017515351042,0.174460277089452,0,0
1.12942062466816,0.143742180891553,0,0
1.13743038616114,0.1137195003996,0,0
1.14721461652438,0.0849162453813542,0,0
1.15928601940169,0.0573836181117146,0,0
1.17831527822247,0.0318702427517,0,0
1.20943753687416,0.00914680370863543,0,0
1.26771071823075,0.00061539851120722,0,0
1.30488368780919,0,0,0
